date,cpi,cpi_grate
2013/1/1,93.41,1.12
2013/2/1,93.85,2.96
2013/3/1,92.5,1.35
2013/4/1,93.08,1.05
2013/5/1,93.25,0.73
2013/6/1,93.72,0.6
2013/7/1,93.58,0.06
2013/8/1,93.69,-0.78
2013/9/1,94.92,0.85
2013/10/1,94.66,0.65
2013/11/1,93.98,0.67
2013/12/1,93.89,0.33
2014/1/1,94.18,0.82
2014/2/1,93.81,-0.04
2014/3/1,93.99,1.61
2014/4/1,94.62,1.65
2014/5/1,94.76,1.62
2014/6/1,95.25,1.63
2014/7/1,95.22,1.75
2014/8/1,95.64,2.08
2014/9/1,95.59,0.71
2014/10/1,95.66,1.06
2014/11/1,94.78,0.85
2014/12/1,94.46,0.61
2015/1/1,93.3,-0.93
2015/2/1,93.62,-0.2
2015/3/1,93.41,-0.62
2015/4/1,93.84,-0.82
2015/5/1,94.07,-0.73
2015/6/1,94.72,-0.56
2015/7/1,94.62,-0.63
2015/8/1,95.21,-0.45
2015/9/1,95.87,0.29
2015/10/1,95.95,0.3
2015/11/1,95.29,0.54
2015/12/1,94.58,0.13
2016/1/1,94.05,0.8
2016/2/1,95.88,2.41
2016/3/1,95.29,2.01
2016/4/1,95.6,1.88
2016/5/1,95.23,1.23
2016/6/1,95.57,0.9
2016/7/1,95.79,1.24
2016/8/1,95.75,0.57
2016/9/1,96.19,0.33
2016/10/1,97.58,1.7
2016/11/1,97.17,1.97
2016/12/1,96.18,1.69
2017/1/1,96.16,2.24
2017/2/1,95.82,-0.06
2017/3/1,95.46,0.18
2017/4/1,95.69,0.09
2017/5/1,95.8,0.6
2017/6/1,96.53,1
2017/7/1,96.53,0.77
2017/8/1,96.67,0.96
2017/9/1,96.66,0.49
2017/10/1,97.26,-0.33
2017/11/1,97.5,0.34
2017/12/1,97.35,1.22
2018/1/1,97.02,0.89
2018/2/1,97.93,2.2
2018/3/1,96.98,1.59
2018/4/1,97.61,2.01
2018/5/1,97.48,1.75
2018/6/1,97.88,1.4
2018/7/1,98.22,1.75
2018/8/1,98.16,1.54
2018/9/1,98.32,1.72
2018/10/1,98.39,1.16
2018/11/1,97.78,0.29
2018/12/1,97.29,-0.06
2019/1/1,97.19,0.18
2019/2/1,98.14,0.21
2019/3/1,97.52,0.56
2019/4/1,98.25,0.66
2019/5/1,98.39,0.93
2019/6/1,98.71,0.85
2019/7/1,98.6,0.39
2019/8/1,98.58,0.43
2019/9/1,98.73,0.42
2019/10/1,98.75,0.37
2019/11/1,98.35,0.58
2019/12/1,98.41,1.15
2020/1/1,99,1.86
2020/2/1,97.94,-0.2
2020/3/1,97.5,-0.02
2020/4/1,97.3,-0.97
2020/5/1,97.2,-1.21
2020/6/1,97.98,-0.74
2020/7/1,98.1,-0.51
2020/8/1,98.25,-0.33
2020/9/1,98.16,-0.58
2020/10/1,98.49,-0.26
2020/11/1,98.44,0.09
2020/12/1,98.45,0.04
2021/1/1,98.81,-0.19
2021/2/1,99.29,1.38
2021/3/1,98.69,1.22
2021/4/1,99.35,2.11
2021/5/1,99.58,2.45
2021/6/1,99.77,1.83
2021/7/1,99.97,1.91
2021/8/1,100.55,2.34
2021/9/1,100.71,2.6
2021/10/1,101,2.55
2021/11/1,101.24,2.84
2021/12/1,101.04,2.63
2022/1/1,101.61,2.83
2022/2/1,101.6,2.33
2022/3/1,101.92,3.27
2022/4/1,102.7,3.37
2022/5/1,102.96,3.39
2022/6/1,103.35,3.59
2022/7/1,103.32,3.35
2022/8/1,103.24,2.68
2022/9/1,103.49,2.76
2022/10/1,103.77,2.74
2022/11/1,103.62,2.35
2022/12/1,103.78,2.71
