date,un_rate
2013/1/1,4.16
2013/2/1,4.24
2013/3/1,4.17
2013/4/1,4.07
2013/5/1,4.06
2013/6/1,4.14
2013/7/1,4.25
2013/8/1,4.33
2013/9/1,4.24
2013/10/1,4.24
2013/11/1,4.16
2013/12/1,4.08
2014/1/1,4.02
2014/2/1,4.09
2014/3/1,4.03
2014/4/1,3.91
2014/5/1,3.85
2014/6/1,3.92
2014/7/1,4.02
2014/8/1,4.08
2014/9/1,3.96
2014/10/1,3.95
2014/11/1,3.89
2014/12/1,3.79
2015/1/1,3.71
2015/2/1,3.69
2015/3/1,3.72
2015/4/1,3.63
2015/5/1,3.62
2015/6/1,3.71
2015/7/1,3.82
2015/8/1,3.9
2015/9/1,3.89
2015/10/1,3.9
2015/11/1,3.91
2015/12/1,3.87
2016/1/1,3.87
2016/2/1,3.95
2016/3/1,3.89
2016/4/1,3.86
2016/5/1,3.84
2016/6/1,3.92
2016/7/1,4.02
2016/8/1,4.08
2016/9/1,3.99
2016/10/1,3.95
2016/11/1,3.87
2016/12/1,3.79
2017/1/1,3.78
2017/2/1,3.85
2017/3/1,3.78
2017/4/1,3.67
2017/5/1,3.66
2017/6/1,3.74
2017/7/1,3.84
2017/8/1,3.89
2017/9/1,3.77
2017/10/1,3.75
2017/11/1,3.71
2017/12/1,3.66
2018/1/1,3.63
2018/2/1,3.7
2018/3/1,3.66
2018/4/1,3.64
2018/5/1,3.63
2018/6/1,3.7
2018/7/1,3.81
2018/8/1,3.87
2018/9/1,3.76
2018/10/1,3.75
2018/11/1,3.7
2018/12/1,3.66
2019/1/1,3.64
2019/2/1,3.72
2019/3/1,3.68
2019/4/1,3.67
2019/5/1,3.67
2019/6/1,3.73
2019/7/1,3.82
2019/8/1,3.89
2019/9/1,3.8
2019/10/1,3.77
2019/11/1,3.73
2019/12/1,3.67
2020/1/1,3.64
2020/2/1,3.7
2020/3/1,3.72
2020/4/1,4.03
2020/5/1,4.07
2020/6/1,3.96
2020/7/1,4
2020/8/1,3.99
2020/9/1,3.83
2020/10/1,3.8
2020/11/1,3.75
2020/12/1,3.68
2021/1/1,3.66
2021/2/1,3.7
2021/3/1,3.67
2021/4/1,3.64
2021/5/1,4.11
2021/6/1,4.8
2021/7/1,4.53
2021/8/1,4.24
2021/9/1,3.96
2021/10/1,3.83
2021/11/1,3.66
2021/12/1,3.64
2022/1/1,3.61
2022/2/1,3.65
2022/3/1,3.66
2022/4/1,3.62
2022/5/1,3.68
2022/6/1,3.74
2022/7/1,3.78
2022/8/1,3.79
2022/9/1,3.66
2022/10/1,3.64
2022/11/1,3.61
2022/12/1,3.52
